prompt,name,size,form,processor,memory,io,manufacturer,summary
What are the top Computer on Modules available with high memory and I/O count?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
What are the top Computer on Modules available with high memory and I/O count?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
What are the top Computer on Modules available with high memory and I/O count?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
What are the top Computer on Modules available with high memory and I/O count?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
What are the top Computer on Modules available with high memory and I/O count?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Which development kits come with extensive wireless connectivity options?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Which development kits come with extensive wireless connectivity options?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Which development kits come with extensive wireless connectivity options?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Which development kits come with extensive wireless connectivity options?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Which development kits come with extensive wireless connectivity options?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Can you list some single board computers suitable for industrial-grade applications?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Can you list some single board computers suitable for industrial-grade applications?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Can you list some single board computers suitable for industrial-grade applications?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Can you list some single board computers suitable for industrial-grade applications?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Can you list some single board computers suitable for industrial-grade applications?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Which Computer on Modules support the Intel Core i7 processors?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Which Computer on Modules support the Intel Core i7 processors?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Which Computer on Modules support the Intel Core i7 processors?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Which Computer on Modules support the Intel Core i7 processors?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Which Computer on Modules support the Intel Core i7 processors?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
List single board computers that offer extensive graphical processing capabilities.,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
List single board computers that offer extensive graphical processing capabilities.,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
List single board computers that offer extensive graphical processing capabilities.,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
List single board computers that offer extensive graphical processing capabilities.,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
List single board computers that offer extensive graphical processing capabilities.,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
What development kits are ideal for rapid prototyping of IoT applications?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
What development kits are ideal for rapid prototyping of IoT applications?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
What development kits are ideal for rapid prototyping of IoT applications?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
What development kits are ideal for rapid prototyping of IoT applications?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
What development kits are ideal for rapid prototyping of IoT applications?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Which single board computers come with long-term support and are highly customizable?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Which single board computers come with long-term support and are highly customizable?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Which single board computers come with long-term support and are highly customizable?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Which single board computers come with long-term support and are highly customizable?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Which single board computers come with long-term support and are highly customizable?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Find Computer on Modules that can operate in extended temperature ranges.,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Find Computer on Modules that can operate in extended temperature ranges.,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Find Computer on Modules that can operate in extended temperature ranges.,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
